iter	Logloss
0	0.6711379357
5	0.5775921401
10	0.5155973274
15	0.4719121546
20	0.4359357723
25	0.4098357807
30	0.3904526869
35	0.3761114976
40	0.3638626248
45	0.3540530301
50	0.3459211154
55	0.3386298238
60	0.3327219339
65	0.3285191707
70	0.3246998306
75	0.3220842467
80	0.3191153229
85	0.3170180094
90	0.314867234
95	0.3132847003
100	0.3116219362
105	0.3099931477
110	0.3087325397
115	0.3073861769
120	0.3062022083
125	0.3049965186
130	0.3038886872
135	0.3031463244
140	0.3024718373
145	0.3017846689
150	0.3010648811
155	0.300510526
160	0.299876267
165	0.2992549403
170	0.2986927505
175	0.298167675
180	0.2975782646
185	0.2972129718
190	0.2967814607
195	0.2961272132
200	0.2956086164
205	0.2951718069
210	0.2947142806
215	0.2943349255
220	0.293633494
225	0.2931984925
230	0.2928375941
235	0.2924283316
240	0.2919346954
245	0.2915759817
250	0.2911339239
255	0.290792085
260	0.2904151406
265	0.289893204
270	0.2895211061
275	0.2892178631
280	0.2888701481
285	0.288549955
290	0.2882045503
295	0.2879487173
300	0.2875809133
305	0.2872119292
310	0.2868501771
315	0.2865427405
320	0.286201228
325	0.2859386903
330	0.2856341415
335	0.2852739211
340	0.2850672559
345	0.2847681311
350	0.284569853
355	0.284300711
360	0.2839750186
365	0.2836823474
370	0.2833683317
375	0.2830878896
380	0.2827818091
385	0.2824732927
390	0.2822652463
395	0.281989249
400	0.2817761552
405	0.281513944
410	0.2812637358
415	0.2810505919
420	0.2807788634
425	0.2805746088
430	0.2803497881
435	0.2800761764
440	0.2799601626
445	0.279684567
450	0.279466225
455	0.2792366332
460	0.278965859
465	0.2787258962
470	0.2785104923
475	0.2783263517
480	0.2780717994
485	0.2778309577
490	0.2776054088
495	0.2773613027
500	0.277073478
505	0.2767678997
510	0.2766315207
515	0.2764391437
520	0.2762500562
525	0.2760328443
530	0.2757577509
535	0.2755638673
540	0.275384297
545	0.2751649254
550	0.2749755367
555	0.2748360941
560	0.2745797588
565	0.2743769607
570	0.2742059031
575	0.2739997903
580	0.2738257696
585	0.2736074025
590	0.2734515623
595	0.2732794249
600	0.2730879268
605	0.272903937
610	0.2727165571
615	0.272549894
620	0.2724139921
625	0.2722892898
630	0.2721688815
635	0.2720123131
640	0.2718774408
645	0.2717041734
650	0.2715646555
655	0.2713885506
660	0.2711804791
665	0.2709955852
670	0.2708065732
675	0.2706035992
680	0.2703681816
685	0.2701576492
690	0.2700347298
695	0.2698475257
700	0.2696239857
705	0.2694415527
710	0.269299122
715	0.2691367277
720	0.2689587646
725	0.2687637509
730	0.2685686368
735	0.2683784696
740	0.2682048255
745	0.2680415022
750	0.2678638655
755	0.2676721916
760	0.2675232068
765	0.2673956418
770	0.2672266685
775	0.2670896617
780	0.2669257859
785	0.2667770773
790	0.2666178471
795	0.266474889
800	0.2663205555
805	0.2662096895
810	0.2660389583
815	0.2659144821
820	0.2657620821
825	0.2656209571
830	0.2654604713
835	0.2653635672
840	0.2652215633
845	0.2650939481
850	0.2649209067
855	0.2647514814
860	0.2646088748
865	0.2644981846
870	0.2643667023
875	0.2642487549
880	0.264147406
885	0.2640268973
890	0.2638917488
895	0.2637569267
900	0.2636465127
905	0.2635321311
910	0.2634439656
915	0.2632468426
920	0.2631070987
925	0.2629352376
930	0.2628173655
935	0.2627032351
940	0.2625863675
945	0.2624870778
950	0.2623669457
955	0.2622053551
960	0.2620525031
965	0.2619225024
970	0.2617797954
975	0.2616999417
980	0.2615657976
985	0.2613829126
990	0.2612564526
995	0.2611847098
1000	0.2610696503
1005	0.2609697076
1010	0.2608770975
1015	0.2607693955
1020	0.2606487361
1025	0.2605124073
1030	0.2603924762
1035	0.2602688537
1040	0.2601328011
1045	0.2600316281
1050	0.2598722974
1055	0.2597751421
1060	0.2596703028
1065	0.2595595875
1070	0.2594321481
1075	0.2593023231
1080	0.2591680786
1085	0.259053471
1090	0.2589535284
1095	0.258854314
1100	0.2587732299
1105	0.2586817246
1110	0.2585884114
1115	0.2584603944
1120	0.2583356419
1125	0.2582527498
1130	0.2581659905
1135	0.2580875933
1140	0.2580088195
1145	0.2579177662
1150	0.2578090598
1155	0.2576975911
1160	0.2575830589
1165	0.2574989112
1170	0.2573877187
1175	0.2573066597
1180	0.2571645805
1185	0.2570924862
1190	0.2569977416
1195	0.2568914961
1200	0.2568166144
1205	0.2567382926
1210	0.2566688098
1215	0.2565867966
1220	0.2565106092
1225	0.2564407498
1230	0.2563524337
1235	0.2562753422
1240	0.2561934546
1245	0.2561029287
1250	0.2560037645
1255	0.255887148
1260	0.2557819571
1265	0.2556806836
1270	0.2556059024
1275	0.2555037249
1280	0.255390398
1285	0.255325134
1290	0.2552347838
1295	0.2551652258
1300	0.2550689996
1305	0.2549831192
1310	0.2549145405
1315	0.2548516369
1320	0.2547355478
1325	0.2546430381
1330	0.2545735805
1335	0.2544944048
1340	0.2544147521
1345	0.2543584527
1350	0.2542961267
1355	0.2542043703
1360	0.2540936801
1365	0.2540090302
1370	0.2539164954
1375	0.2538203697
1380	0.2537177652
1385	0.2536527272
1390	0.2535701866
1395	0.2534986699
1400	0.2534160289
1405	0.2533531755
1410	0.2532847726
1415	0.2531897267
1420	0.2531161257
1425	0.2530352174
1430	0.2529654835
1435	0.2528808336
1440	0.2528003522
1445	0.2527248428
1450	0.2526729128
1455	0.2525576523
1460	0.2524992688
1465	0.2524280031
1470	0.2523555322
1475	0.2522978015
1480	0.252202178
1485	0.2521276479
1490	0.2520509583
1495	0.2519615373
1500	0.2518829643
1505	0.2518140842
1510	0.2517278523
1515	0.2516575911
1520	0.2516000362
1525	0.2515303777
1530	0.2514621757
1535	0.2513532935
1540	0.2512722847
1545	0.2511563462
1550	0.2511015284
1555	0.2510447269
1560	0.2509683637
1565	0.2509146257
1570	0.2508490352
1575	0.2507784978
1580	0.2507091658
1585	0.2506065362
1590	0.2505642238
1595	0.2504739741
1600	0.2504148623
1605	0.2503427932
1610	0.2502673842
1615	0.2501749498
1620	0.2501103889
1625	0.2500331468
1630	0.2499526403
1635	0.2498640228
1640	0.2498034294
1645	0.2497517506
1650	0.2496769694
1655	0.2496101484
1660	0.24956196
1665	0.2494887357
1670	0.2494289459
1675	0.2493906764
1680	0.2493418351
1685	0.2492908845
1690	0.2492321996
1695	0.2491513163
