iter	Passed	Remaining
0	3373	33736516
1	3398	16987929
2	3422	11406175
3	3448	8616611
4	3472	6941547
5	3499	5828736
6	3523	5029879
7	3547	4431315
8	3573	3966785
9	3595	3591633
10	3620	3287296
11	3642	3031720
12	3664	2815355
13	3686	2629677
14	3710	2470216
15	3734	2330509
16	3762	2209664
17	3788	2101082
18	3816	2004901
19	3838	1915531
20	3861	1834853
21	3883	1761348
22	3906	1694384
23	3929	1633494
24	3951	1576569
25	3975	1525120
26	3999	1477150
27	4021	1432109
28	4043	1390139
29	4067	1351657
30	4094	1316647
31	4117	1282634
32	4140	1250444
33	4162	1220206
34	4185	1191691
35	4211	1165680
36	4236	1140733
37	4264	1118042
38	4291	1096019
39	4316	1074715
40	4339	1054018
41	4361	1034206
42	4384	1015244
43	4405	996940
44	4428	979659
45	4450	963107
46	4474	947489
47	4495	931995
48	4517	917381
49	4540	903590
50	4563	890235
51	4585	877318
52	4608	864991
53	4632	853171
54	4654	841572
55	4677	830503
56	4699	819713
57	4721	809357
58	4744	799325
59	4774	791002
60	4805	782915
61	4832	774593
62	4854	765623
63	4878	757327
64	4901	749163
65	4927	741643
66	4950	733927
67	4974	726524
68	4998	719456
69	5021	712375
70	5045	705541
71	5068	698934
72	5097	693206
73	5121	686977
74	5144	680770
75	5169	675007
76	5199	670032
77	5225	664712
78	5250	659360
79	5273	653949
80	5296	648559
81	5327	644349
82	5349	639198
83	5373	634287
84	5397	629583
85	5420	624871
86	5444	620328
87	5470	616204
88	5497	612181
89	5522	608131
90	5561	605552
91	5593	602342
92	5617	598463
93	5640	594405
94	5663	590488
95	5687	586730
96	5710	583034
97	5733	579278
98	5756	575660
99	5778	572108
100	5802	568707
101	5825	565341
102	5850	562195
103	5874	558935
104	5896	555720
105	5919	552561
106	5941	549358
107	5970	546807
108	5996	544156
109	6023	541545
110	6047	538760
111	6069	535840
112	6098	533632
113	6121	530858
114	6151	528764
115	6176	526284
116	6206	524305
117	6229	521722
118	6254	519319
119	6276	516772
120	6300	514435
121	6326	512244
122	6352	510095
123	6374	507709
124	6398	505457
125	6422	503297
126	6445	501058
127	6472	499204
128	6495	497027
129	6520	495028
130	6542	492860
131	6569	491155
132	6592	489091
133	6620	487449
134	6642	485422
135	6670	483793
136	6693	481852
137	6715	479948
138	6738	478021
139	6760	476134
140	6783	474313
141	6806	472514
142	6828	470723
143	6850	468908
144	6873	467144
145	6896	465484
146	6919	463789
147	6941	462062
148	6963	460395
149	6986	458808
150	7014	457539
151	7037	455956
152	7062	454530
153	7099	453914
154	7123	452439
155	7152	451315
156	7174	449809
157	7197	448329
158	7219	446829
159	7242	445391
160	7264	443969
161	7286	442523
162	7309	441126
